hhid,latitude,longitude,GAEZ_57class1
1884,11.89337,37.970637,10
1885,11.894078,37.970595,10
1886,11.89492,37.971554,10
1887,11.894446,37.97151,10
1888,11.894336,37.97166,10
1889,11.894228,37.971502,10
1890,11.893276,37.971562,10
1891,11.89337,37.972554,10
1892,11.894177,37.974398,10
1893,11.89298,37.974306,10
1894,11.892918,37.974058,10
1895,11.892364,37.972568,10
1896,11.892438,37.973326,10
1897,11.892357,37.973355,10
1898,11.892398,37.973119,10
1899,11.892023,37.973151,10
1900,11.89285,37.973512,10
1901,11.892648,37.973899,10
1902,11.892484,37.97498,10
1903,11.891784,37.975387,10
1904,11.889817,37.975447,10
1905,11.888061,37.974863,10
1906,11.887526,37.976108,10
1907,11.889376,37.977324,10
1908,11.890547,37.976894,10
1909,11.893582,37.977842,10
1910,11.893199,37.977896,10
1911,11.893052,37.978086,10
1912,11.875471,37.966027,10
1913,11.876436,37.966308,10
1914,11.876624,37.966848,9
1915,11.876436,37.967215,9
1916,11.877081,37.967295,9
1917,11.877795,37.969268,9
1918,11.880765,37.971615,9
1919,11.880855,37.97123,9
1920,11.881151,37.971039,9
1921,11.881078,37.97116,9
1922,11.881355,37.970969,9
1923,11.88136,37.971128,9
1924,11.881802,37.971786,9
1925,11.881838,37.972678,9
1926,11.873295,38.040039,9
1927,11.873887,38.039562,9
1928,11.87479,38.040067,9
1929,11.874901,38.040296,9
1930,11.875093,38.04028,9
1931,11.875212,38.040668,9
1932,11.875217,38.04001,9
1933,11.875214,38.039765,9
1934,11.87493,38.038984,9
1935,11.875243,38.039383,9
1936,11.874974,38.03621,9
1937,11.874856,38.036022,9
1938,11.874339,38.03689,9
1939,11.874667,38.036846,9
1940,11.874853,38.037193,9
1941,11.874614,38.037627,9
1942,11.874513,38.037833,9
1943,11.874921,38.037013,9
1944,11.875258,38.037402,9
1945,11.8755,38.03741,9
1946,11.875583,38.037513,9
1947,11.875912,38.037315,9
1948,11.876226,38.038759,9
1949,11.876349,38.038654,9
1950,11.875898,38.03913,9
1951,11.876085,38.039148,9
1952,11.876198,38.039625,9
1953,11.875632,38.039135,9
1954,11.875427,38.039093,9
1955,11.87701,38.040533,9
1956,11.874953,38.041902,9
1957,11.874214,38.041281,9
1958,11.87433,38.042915,9
1959,11.874273,38.042483,9
1960,11.87517,38.042288,9
1961,11.87547,38.042634,9
1962,11.876603,38.04346,9
1963,11.876683,38.043246,9
1964,11.876928,38.044334,9
1965,11.876895,38.044364,9
1966,11.876927,38.044207,9
1967,11.877515,38.044589,9
1968,11.877452,38.044476,9
1969,11.879932,38.042401,9
1970,11.878554,38.04168,9
1971,11.878213,38.041598,9
1972,11.876902,38.041642,9
1973,11.877474,38.040576,9
1974,11.875777,38.041233,9
1975,11.878359,38.040197,9
1976,11.875514,38.038624,9
1977,11.882294,38.040636,9
1978,11.885244,38.041915,9
1979,11.885473,38.041873,9
1980,11.885367,38.043408,9
1981,11.884909,38.044365,9
1982,11.884233,38.043875,9
1983,11.88515,38.042536,9
1984,11.8839,38.043877,9
1985,11.88373,38.044585,9
1986,11.883975,38.044529,9
1987,11.882092,38.042827,9
1988,11.88166,38.042155,9
1989,11.881128,38.042423,9
1990,11.881068,38.041323,9
1991,11.880972,38.041318,9
1992,11.88726,38.04659,9
1993,11.88797,38.047518,9
1994,11.888139,38.046769,9
1995,11.888776,38.045316,9
1996,11.888743,38.045297,9
1997,11.888448,38.045936,9
1998,11.888735,38.046429,9
1999,11.889087,38.046605,9
2000,11.890392,38.046915,9
2001,11.891146,38.047325,9
2002,11.891455,38.047961,9
2003,11.888695,38.047467,9
2004,11.888622,38.048259,9
2005,11.887615,38.048514,9
2006,11.887677,38.048239,9
2007,11.887907,38.048228,9
2008,11.887858,38.049466,9
2009,11.887896,38.049099,9
2010,11.888205,38.048756,9
2011,11.887596,38.049048,9
2012,11.887423,38.048776,9
2013,11.887472,38.047946,9
2014,11.887857,38.047942,9
2015,11.885191,38.044507,9
2016,11.881906,38.041039,9
2017,11.88198,38.041279,9
2018,11.87835,38.046753,9
2019,11.878314,38.039386,9
2020,11.883281,38.040763,9
2021,11.883717,38.0414,9
2022,11.877875,38.041372,9
2023,11.842557,38.055315,9
2024,11.842519,38.056908,9
2025,11.842211,38.056296,9
2026,11.841545,38.056131,9
2027,11.841263,38.056377,9
2028,11.840836,38.05634,9
2029,11.841014,38.05572,9
2030,11.840682,38.055466,9
2031,11.841075,38.055286,9
2032,11.840709,38.054602,9
2033,11.840433,38.054781,9
2034,11.839905,38.054722,9
2035,11.840723,38.053747,9
2036,11.840297,38.053523,9
2037,11.841534,38.055933,9
2038,11.841483,38.055879,9
2039,11.839802,38.05587,9
2040,11.839783,38.05568,9
2041,11.839718,38.055771,9
2042,11.839598,38.055846,9
2043,11.840071,38.055548,9
2044,11.839006,38.054374,9
2045,11.83895,38.054308,9
2046,11.839652,38.053476,9
2047,11.840486,38.053373,9
2048,11.840601,38.053459,9
2049,11.839613,38.052462,9
2050,11.839604,38.0524,9
2051,11.839084,38.051893,9
2052,11.837022,38.052535,9
2053,11.836142,38.052727,9
2054,11.835854,38.052217,9
2055,11.836517,38.051164,9
2056,11.836822,38.0513,9
2057,11.834922,38.051047,9
2058,11.834488,38.050838,9
2059,11.833806,38.051071,9
2060,11.834274,38.052133,9
2061,11.834448,38.052657,9
2062,11.835891,38.053753,9
2063,11.83645,38.053521,9
2064,11.836446,38.052806,9
2065,11.836338,38.052565,9
2066,11.835587,38.054642,9
2067,11.83555,38.055248,9
2068,11.835003,38.049433,9
2069,11.835063,38.048979,9
2070,11.834264,38.049545,9
2071,11.834641,38.050179,9
2072,11.834764,38.048958,9
2073,11.834744,38.048959,9
2074,11.833677,38.049678,9
2075,11.83295,38.050015,10
2076,11.832266,38.05013,10
2077,11.832418,38.050151,10
2078,11.836067,38.053148,9
2079,11.834852,38.054476,9
2080,11.834738,38.054714,9
2081,11.834792,38.055511,9
2082,11.835341,38.054164,9
2083,11.832654,38.05469,10
2084,11.82939,38.055104,10
2085,11.829065,38.055054,10
2086,11.827371,38.052264,10
2087,11.82719,38.052297,10
2088,11.826686,38.050484,10
2089,11.826988,38.05043,10
2090,11.827729,38.051574,10
2091,11.828744,38.051651,10
2092,11.829101,38.052707,10
2093,11.829362,38.05276,10
2094,11.829937,38.052728,10
2095,11.830364,38.051872,10
2096,11.830525,38.051626,10
2097,11.831564,38.052848,10
2098,11.833986,38.056452,9
2099,11.832112,38.056418,10
2100,11.831445,38.056089,10
2101,11.831601,38.056813,10
2102,11.831091,38.057099,10
2103,11.830963,38.057536,10
2104,11.83059,38.057622,10
2105,11.831174,38.057999,10
2106,11.831449,38.057951,10
2107,11.831607,38.057765,10
2108,11.832122,38.058063,10
2109,11.832347,38.057522,10
2110,11.834304,38.057692,9
2111,11.834888,38.057633,9
2112,11.835027,38.057122,9
2113,11.834874,38.056975,9
2114,11.835453,38.057186,9
2115,11.836745,38.059309,9
2116,11.836402,38.059233,9
2117,11.836391,38.058649,9
2118,11.836629,38.058567,9
2119,11.833166,38.059946,9
2120,11.832542,38.059465,9
2121,11.830831,38.059397,9
2122,11.830557,38.059568,9
2123,11.83036,38.058165,10
2124,11.829773,38.05916,9
2125,11.829888,38.059005,9
2126,11.829311,38.059913,9
2127,11.828351,38.059994,9
2128,11.828566,38.061597,9
2129,11.828178,38.062596,9
2130,11.827908,38.062474,9
2131,11.827731,38.061781,9
2132,11.828692,38.062366,9
2133,11.833954,38.059472,9
2134,11.834109,38.05983,9
2135,11.833275,38.059435,9
2136,11.833412,38.060777,9
2137,11.833129,38.060725,9
2138,11.832823,38.061358,9
2139,11.830759,38.06055,9
2140,11.830612,38.060739,9
2141,11.829805,38.061181,9
2142,11.829586,38.061048,9
2143,11.831383,38.060538,9
2144,11.831934,38.060467,9
2145,11.834069,38.060904,9
